Unnamed: 0,Title,ID,cleaned_text
49,R. Kelly's Chicago Sex Abuse Conviction Upheld In Federal Court,1cdqlwl,r kelly chicago sex abuse conviction upheld federal court
50,"Fore! 'Happy Gilmore 2' is indeed in development, per Adam Sandler and Drew Barrymore",1can3ma,fore happy gilmore indeed development per adam sandler drew barrymore
51,"‘Deadpool and Wolverine’ Doesn’t Require Prior MCU Knowledge Because ‘I’m Definitely Not Looking to Do Homework When I Go to the Movies,’ Says Shawn Levy",1cela2c,deadpool wolverine doesnt require prior mcu knowledge im definitely looking homework go movie say shawn levy
52,Luca Guadagnino Says No Movie Should Have ‘90 Takes’ Per Scene: ‘Why Do You Have To Torture People?’,1cenom4,luca guadagnino say movie take per scene torture people
53,"Ye (Kanye) Sued for Allegedly Discriminating Against Black Staff, Demanding Employee Cut Off His Locs",1ce5n9s,ye kanye sued allegedly discriminating black staff demanding employee cut locs
54,"Jordan Klepper, Ronny Chieng Troll Trump With His Most Awkward Fox News Defense Yet",1cbrruj,jordan klepper ronny chieng troll trump awkward fox news defense yet
55,Fallout: Could Amazon's show turn TV viewers into gamers?,1c9rg13,fallout could amazon show turn tv viewer gamers
56,"Ray Chan Dies: ‘Deadpool & Wolverine’, ‘Avengers: Endgame’ Production Designer Was “Peerless”, Says Ryan Reynolds",1ce58ol,ray chan dy deadpool wolverine avenger endgame production designer peerless say ryan reynolds
57,Emily Blunt Says Algorithms ‘Frustrate Me’ and ‘I Hate That F—ing Word’: ‘How Can We Let It Determine What Will Be Successful’ or Not?,1cd3wkv,emily blunt say algorithm frustrate hate fing word let determine successful
58,Kanye West’s Former Security Guard Sues Him for Discrimination Against Black Employees and Wrongful Termination,1cf1rvy,kanye west former security guard sue discrimination black employee wrongful termination
59,Pennsylvania School Board Reinstates Gay Author’s Speech Amid Backlash,1ccstqv,pennsylvania school board reinstates gay author speech amid backlash
60,Director Says Netflix Passed on ‘A Knight’s Tale 2’ Due to Algorithm,1cb0s0w,director say netflix passed knight tale due algorithm
61,Brooke Shields Announces Run For President Of Actors’ Equity: “I Felt It Was My Responsibility To Step Up”,1cbnvjn,brooke shield announces run president actor equity felt responsibility step
62,"Some 300 musicians, from Diplo to Nile Rodgers, lobby Congress for ticketing reform",1cczv3s,musician diplo nile rodgers lobby congress ticketing reform
